    3 5.035994784 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=630, FN=0, Flags=........, BI=204, SSID=eduroam
    4 16.735081941 Cisco_d0:24:7f → Broadcast    802.11 344  48 Beacon frame, SN=803, FN=0, Flags=........, BI=204, SSID=eduroam
    5 19.241791062 Cisco_d0:24:7f → Broadcast    802.11 336  48 Beacon frame, SN=839, FN=0, Flags=........, BI=204, SSID=eduroam
   25 29.366313690 Cisco_d0:24:7e → Broadcast    802.11 312  48 Beacon frame, SN=991, FN=0, Flags=........, BI=204, SSID=TUvisitor
   32 30.140614210 Cisco_04:0f:9d → Broadcast    802.11 347  100 Beacon frame, SN=2567, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
   51 35.117155556 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1072, FN=0, Flags=........, BI=204, SSID=eduroam
   53 45.352682026 Cisco_d0:24:7f → Broadcast    802.11 344  48 Beacon frame, SN=1220, FN=0, Flags=........, BI=204, SSID=eduroam
   54 51.619948957 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1310, FN=0, Flags=........, BI=204, SSID=eduroam
   55 57.886538762 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1400, FN=0, Flags=........, BI=204, SSID=eduroam
   56 59.139901405 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1418, FN=0, Flags=........, BI=204, SSID=eduroam
   57 61.648473570 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1455, FN=0, Flags=........, BI=204, SSID=eduroam
   58 64.153349864 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1491, FN=0, Flags=........, BI=204, SSID=eduroam
   59 69.166865712 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1565, FN=0, Flags=........, BI=204, SSID=eduroam
   60 75.433709226 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1656, FN=0, Flags=........, BI=204, SSID=eduroam
   67 88.385119554 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1842, FN=0, Flags=........, BI=204, SSID=eduroam
   68 94.651979615 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1932, FN=0, Flags=........, BI=204, SSID=eduroam
   71 99.665497257 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2006, FN=0, Flags=........, BI=204, SSID=eduroam
  267 115.332397893 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2238, FN=0, Flags=........, BI=204, SSID=eduroam
  270 122.852830576 Cisco_d0:24:7f → Broadcast    802.11 344  48 Beacon frame, SN=2345, FN=0, Flags=........, BI=204, SSID=eduroam
  271 128.075125321 Cisco_d0:24:7f → Broadcast    802.11 336  48 Beacon frame, SN=2422, FN=0, Flags=........, BI=204, SSID=eduroam
  272 130.581915397 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2458, FN=0, Flags=........, BI=204, SSID=eduroam
  273 141.653277243 Cisco_d0:24:7f → Broadcast    802.11 336  48 Beacon frame, SN=2622, FN=0, Flags=........, BI=204, SSID=eduroam
  274 142.906730077 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2640, FN=0, Flags=........, BI=204, SSID=eduroam
  286 149.297988016 Cisco_d0:14:6f → Broadcast    802.11 336  44 Beacon frame, SN=3664, FN=0, Flags=........, BI=204, SSID=eduroam
  291 149.800423241 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2739, FN=0, Flags=........, BI=204, SSID=eduroam
  292 150.000177073 Cisco_04:0f:9f → Broadcast    802.11 336  100 Beacon frame, SN=238, FN=0, Flags=........, BI=204, SSID=eduroam
  321 169.018485781 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3025, FN=0, Flags=........, BI=204, SSID=eduroam
  324 178.209820842 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3229, FN=0, Flags=........, BI=204, SSID=eduroam
  325 180.716642408 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3282, FN=0, Flags=........, BI=204, SSID=eduroam
  326 185.939007025 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3374, FN=0, Flags=........, BI=204, SSID=eduroam
  327 190.534672939 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3440, FN=0, Flags=........, BI=204, SSID=eduroam
  328 194.294861835 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3495, FN=0, Flags=........, BI=204, SSID=eduroam
  329 195.548283932 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3516, FN=0, Flags=........, BI=204, SSID=eduroam
  332 198.054893570 Cisco_d0:24:7f → Broadcast    802.11 340  48 Beacon frame, SN=3553, FN=0, Flags=........, BI=204, SSID=eduroam
  333 200.561691866 Cisco_d0:24:7f → Broadcast    802.11 336  48 Beacon frame, SN=3589, FN=0, Flags=........, BI=204, SSID=eduroam
  338 208.290755372 Cisco_d0:24:7f → Broadcast    802.11 340  48 Beacon frame, SN=3700, FN=0, Flags=........, BI=204, SSID=eduroam
  339 213.304307750 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3772, FN=0, Flags=........, BI=204, SSID=eduroam
  342 218.735556752 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=3854, FN=0, Flags=........, BI=204, SSID=eduroam
  345 233.775983127 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=4074, FN=0, Flags=........, BI=204, SSID=eduroam
  346 240.042761410 Cisco_d0:24:7f → Broadcast    802.11 352  48 Beacon frame, SN=68, FN=0, Flags=........, BI=204, SSID=eduroam
  349 244.220676833 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=128, FN=0, Flags=........, BI=204, SSID=eduroam
  350 246.727375545 Cisco_d0:24:7f → Broadcast    802.11 348  48 Beacon frame, SN=164, FN=0, Flags=........, BI=204, SSID=eduroam
  351 252.994212649 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=254, FN=0, Flags=........, BI=204, SSID=eduroam
