   10 27.258634824 BelkinIn_80:3c:84 → Broadcast    802.11 321  12 Beacon frame, SN=2720, FN=0, Flags=........, BI=100, SSID=Linksys34731
   12 27.269931736 BelkinIn_81:de:ae → Broadcast    802.11 346  12 Beacon frame, SN=2618, FN=0, Flags=........, BI=100, SSID=Laila
   13 27.463418158 BelkinIn_80:3c:84 → Broadcast    802.11 321  13 Beacon frame, SN=2723, FN=0, Flags=........, BI=100, SSID=Linksys34731
   17 27.791676202 D-LinkIn_43:72:66 → Broadcast    802.11 348  44 Beacon frame, SN=3410, FN=0, Flags=........, BI=100, SSID=Bas Segaar 5GHz
   70 112.620806713 Netgear_13:e0:88 → Broadcast    802.11 337  6 Beacon frame, SN=1963, FN=0, Flags=........, BI=100, SSID=Himanshu
   71 127.161213670 Netgear_13:e0:88 → Broadcast    802.11 337  6 Beacon frame, SN=2120, FN=0, Flags=........, BI=100, SSID=Himanshu
   72 137.196070413 Netgear_13:e0:88 → Broadcast    802.11 337  6 Beacon frame, SN=2221, FN=0, Flags=........, BI=100, SSID=Himanshu
   75 147.128689038 Netgear_13:e0:88 → Broadcast    802.11 337  7 Beacon frame, SN=2321, FN=0, Flags=........, BI=100, SSID=Himanshu
   79 147.271399499 BelkinIn_80:3c:84 → Broadcast    802.11 321  12 Beacon frame, SN=3909, FN=0, Flags=........, BI=100, SSID=Linksys34731
   80 147.282377950 BelkinIn_81:de:ae → Broadcast    802.11 346  12 Beacon frame, SN=3811, FN=0, Flags=........, BI=100, SSID=Laila
   81 147.536952954 66:38:e0:81:de:ae → Broadcast    802.11 267  13 Beacon frame, SN=3631, FN=0, Flags=........, BI=100, SSID=Laila-guest
   85 147.801723685 D-LinkIn_43:72:66 → Broadcast    802.11 348  44 Beacon frame, SN=492, FN=0, Flags=........, BI=100, SSID=Bas Segaar 5GHz
   86 147.929092997 BelkinIn_80:3c:85 → Broadcast    802.11 310  48 Beacon frame, SN=1799, FN=0, Flags=........, BI=100, SSID=Linksys34731_5GHz
   88 151.941382578 Netgear_13:e0:88 → Broadcast    802.11 337  6 Beacon frame, SN=2368, FN=0, Flags=........, BI=100, SSID=Himanshu
   89 153.170088377 Netgear_13:e0:88 → Broadcast    802.11 337  6 Beacon frame, SN=2380, FN=0, Flags=........, BI=100, SSID=Himanshu
   91 153.375002350 Netgear_13:e0:88 → Broadcast    802.11 337  6 Beacon frame, SN=2382, FN=0, Flags=........, BI=100, SSID=Himanshu
   93 153.989312221 Netgear_13:e0:88 → Broadcast    802.11 337  6 Beacon frame, SN=2389, FN=0, Flags=........, BI=100, SSID=Himanshu
   94 154.603673501 Netgear_13:e0:88 → Broadcast    802.11 337  6 Beacon frame, SN=2395, FN=0, Flags=........, BI=100, SSID=Himanshu
   95 158.598545155 Netgear_13:e0:88 → Broadcast    802.11 337  6 Beacon frame, SN=2435, FN=0, Flags=........, BI=100, SSID=Himanshu
   99 161.641553481 D-LinkIn_54:83:60 → Broadcast    802.11 402  12 Beacon frame, SN=1047, FN=0, Flags=........, BI=100, SSID=dlink-8360
  100 161.743921013 D-LinkIn_54:83:60 → Broadcast    802.11 402  13 Beacon frame, SN=1048, FN=0, Flags=........, BI=100, SSID=dlink-8360
  101 161.817558605 D-LinkIn_54:83:62 → Broadcast    802.11 453  36 Beacon frame, SN=2669, FN=0, Flags=........, BI=100, SSID=dlink-8360-5GHz
  108 165.327868738 D-LinkIn_54:83:60 → Broadcast    802.11 402  12 Beacon frame, SN=1085, FN=0, Flags=........, BI=100, SSID=dlink-8360
  113 177.279040587 Tp-LinkT_cd:97:02 → Broadcast    802.11 279  11 Beacon frame, SN=1147, FN=0, Flags=........, BI=100, SSID=Other...
  115 202.008640895 Tp-LinkT_fe:54:11 → Broadcast    802.11 315  4 Beacon frame, SN=3921, FN=0, Flags=........, BI=100, SSID=TP-Link_5411
  120 261.194377920 RuckusWi_7f:5d:48 → Broadcast    802.11 246  12 Beacon frame, SN=2191, FN=0, Flags=........, BI=100, SSID=Spar
  121 261.295790367 RuckusWi_3f:5d:48 → Broadcast    802.11 284  13 Beacon frame, SN=2641, FN=0, Flags=........, BI=100, SSID=PostNL
