   52 71.929572146 Cisco-Li_6c:c3:eb → Broadcast    802.11 313  10 Beacon frame, SN=2434, FN=0, Flags=........, BI=100, SSID=linksys
   56 71.960094863 BelkinIn_81:de:ae → Broadcast    802.11 328  11 Beacon frame, SN=734, FN=0, Flags=........, BI=100, SSID=Laila
   57 71.965247089 Tp-LinkT_1c:c2:4b → Broadcast    802.11 310  11 Beacon frame, SN=1440, FN=0, Flags=........, BI=100, SSID=Weeb_Cave
   60 72.167240599 BelkinIn_80:3c:84 → Broadcast    802.11 303  13 Beacon frame, SN=2726, FN=0, Flags=........, BI=100, SSID=Linksys34731
   61 87.869081177 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3083, FN=0, Flags=........, BI=100, SSID=Himanshu
   75 93.603224748 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3147, FN=0, Flags=........, BI=100, SSID=Himanshu
   78 103.024334676 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3242, FN=0, Flags=........, BI=100, SSID=Himanshu
   79 103.638520254 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3249, FN=0, Flags=........, BI=100, SSID=Himanshu
   80 104.252903801 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3255, FN=0, Flags=........, BI=100, SSID=Himanshu
   81 107.939418864 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3291, FN=0, Flags=........, BI=100, SSID=Himanshu
   82 110.397037013 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3315, FN=0, Flags=........, BI=100, SSID=Himanshu
   83 111.625735277 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3328, FN=0, Flags=........, BI=100, SSID=Himanshu
   86 134.563334164 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3574, FN=0, Flags=........, BI=100, SSID=Himanshu
  100 137.328105094 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3607, FN=0, Flags=........, BI=100, SSID=Himanshu
  115 143.574778287 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3700, FN=0, Flags=........, BI=100, SSID=Himanshu
  118 144.804869309 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3714, FN=0, Flags=........, BI=100, SSID=Himanshu
  120 145.623815514 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3727, FN=0, Flags=........, BI=100, SSID=Himanshu
  124 147.466040494 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3750, FN=0, Flags=........, BI=100, SSID=Himanshu
  134 152.790867165 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3825, FN=0, Flags=........, BI=100, SSID=Himanshu
  149 162.211695169 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3951, FN=0, Flags=........, BI=100, SSID=Himanshu
  153 164.465209238 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=3982, FN=0, Flags=........, BI=100, SSID=Himanshu
  156 168.356008543 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=4033, FN=0, Flags=........, BI=100, SSID=Himanshu
  159 169.277128197 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=4044, FN=0, Flags=........, BI=100, SSID=Himanshu
