72:70:0d:e9:c1:a2 SSID=iPhone
76:8d:08:8b:03:1e SSID=Mike's
76:c8:10:af:0d:34 PRO
Apple_46:ca:39 Corner
Apple_46:ca:39 Koophandel
Apple_49:43:e6 45
Apple_95:54:d2 Minky
Cisco_04:0f:90 SSID=eduroam
Cisco_04:0f:91 SSID=TUvisitor
Cisco_04:0f:92 SSID=tudelft-dastud
Cisco_04:0f:9d SSID=tudelft-dastud
Cisco_04:0f:9e SSID=TUvisitor
Cisco_04:0f:9f SSID=eduroam
Cisco_34:b7:20 SSID=eduroam
Cisco_34:b7:21 SSID=TUvisitor
Cisco_34:b7:22 SSID=tudelft-dastud
Cisco_7e:9b:71 SSID=TUvisitor
Cisco_7e:9b:72 SSID=tudelft-dastud
Cisco_7e:9b:7d SSID=tudelft-dastud
Cisco_7e:9b:7e SSID=TUvisitor
Cisco_7e:9b:7f SSID=eduroam
Cisco_86:61:e1 SSID=TUvisitor
Cisco_86:61:e2 SSID=tudelft-dastud
Cisco_c8:55:00 SSID=eduroam
Cisco_c8:55:01 SSID=TUvisitor
Cisco_c8:55:02 SSID=tudelft-dastud
Cisco_c9:e3:b0 SSID=eduroam
Cisco_c9:e3:b1 SSID=TUvisitor
Cisco_c9:e3:b2 SSID=tudelft-dastud
Cisco_c9:e3:be SSID=TUvisitor
Cisco_d0:14:62 SSID=tudelft-dastud
Cisco_d0:14:6d SSID=tudelft-dastud
Cisco_d0:14:6e SSID=TUvisitor
Cisco_d0:14:6f SSID=eduroam
Cisco_d0:24:70 SSID=eduroam
Cisco_d0:24:71 SSID=TUvisitor
Cisco_d0:24:72 SSID=tudelft-dastud
Cisco_d0:24:7d SSID=tudelft-dastud
Cisco_d0:24:7e SSID=TUvisitor
Cisco_d0:24:7f SSID=eduroam
Cisco_d2:20:90 SSID=eduroam
Cisco_d2:20:91 SSID=TUvisitor
Cisco_d2:20:92 SSID=tudelft-dastud
Cisco_d2:20:9d SSID=tudelft-dastud
Cisco_d2:20:9e SSID=TUvisitor
Cisco_d2:20:9f SSID=eduroam
Cisco_de:81:c0 SSID=eduroam
Cisco_de:81:c1 SSID=TUvisitor
Cisco_de:81:c2 SSID=tudelft-dastud
Cisco_de:f0:b0 SSID=eduroam
Cisco_de:f0:b1 SSID=TUvisitor
Cisco_de:f0:b2 SSID=tudelft-dastud
Microsof_1b:2b:fc Annelies
Microsof_1b:2b:fc Free
Microsof_1b:2b:fc in
Microsof_1b:2b:fc Richardstone
Microsof_a5:3f:e0 3
Microsof_a5:3f:e0 FREE
Microsof_a5:3f:e0 in
Microsof_a5:3f:e0 Tejivo
Microsof_a5:3f:e0 VILLAGE
Microsof_a5:3f:e0 wifi
SamsungE_07:5f:d1 SSID=Gerben
Zte_27:3e:bd SSID=H369A273EBD
02:be:8b:c3:25:66 SSID=Broadcast
06:f4:18:13:1b:fa SSID=Broadcast
0e:aa:8d:12:d7:eb SSID=Broadcast
0e:fd:1f:9c:c9:45 SSID=Broadcast
12:0a:a5:88:40:bc SSID=Broadcast
12:91:85:74:4b:5c SSID=Broadcast
16:7c:29:b6:64:5b SSID=Broadcast
16:9a:ea:87:59:28 SSID=Broadcast
16:9a:ea:87:59:28 SSID=Ziggo0B609
16:a3:72:0e:39:b2 SSID=Broadcast
16:c0:73:71:2d:21 SSID=Broadcast
1a:5e:56:a8:29:76 SSID=Broadcast
1a:68:eb:f7:42:2a SSID=Broadcast
1a:7c:82:c7:84:06 SSID=Broadcast
1a:d6:b0:78:11:18 SSID=Broadcast
1e:24:03:76:ee:26 SSID=Broadcast
1e:2f:1a:e9:71:40 SSID=Broadcast
1e:96:df:f6:bb:1c SSID=Broadcast
1e:af:68:81:dc:63 SSID=Broadcast
1e:ff:d0:e8:dc:fd SSID=Broadcast
22:1d:47:2d:2d:8d SSID=Broadcast
22:21:43:5c:12:24 SSID=Broadcast
22:27:fa:9a:d3:11 SSID=Broadcast
22:5c:6a:86:a8:a5 SSID=Broadcast
22:6b:31:7d:0c:66 SSID=Broadcast
22:86:2a:1a:7e:c9 SSID=Broadcast
22:8f:3a:ec:7c:e3 SSID=Broadcast
22:c3:17:0e:84:60 SSID=Broadcast
26:8b:3e:28:42:3a SSID=Broadcast
2a:49:43:fc:d2:81 SSID=Broadcast
2e:a1:ed:a0:14:52 SSID=Broadcast
2e:e9:ea:d0:8f:35 SSID=Broadcast
32:0b:5f:1c:14:79 SSID=Broadcast
32:65:e5:15:68:0a SSID=Broadcast
32:a6:f4:23:34:66 SSID=Broadcast
32:bc:d4:b7:9f:45 SSID=Broadcast
32:bc:f8:97:36:cc SSID=Broadcast
32:ed:eb:19:b9:fb SSID=Broadcast
36:9f:c4:00:0c:10 SSID=Broadcast
3a:a0:4f:d8:c9:a7 SSID=Broadcast
3a:c2:b6:e9:5e:cf SSID=Broadcast
3a:e5:af:d4:81:c3 SSID=Broadcast
3e:07:61:a3:81:63 SSID=Broadcast
3e:07:61:a3:81:63 SSID=eduroam
3e:14:fb:3a:ee:16 SSID=Broadcast
3e:e0:b4:28:53:7b SSID=Broadcast
42:87:c0:4a:13:33 SSID=Broadcast
46:21:75:11:5b:39 SSID=Broadcast
46:f8:fb:58:29:17 SSID=Broadcast
4a:e2:c5:3c:6b:8f SSID=Broadcast
4e:00:6e:ac:b3:16 SSID=Broadcast
4e:bf:6a:c3:bf:3b SSID=Broadcast
4e:f8:c1:90:54:11 SSID=Broadcast
52:60:ae:70:dd:37 SSID=Broadcast
56:38:30:b5:c0:aa SSID=Broadcast
56:8e:bc:f7:d6:93 SSID=Broadcast
56:bf:86:3d:84:b8 SSID=Broadcast
56:fd:cd:22:c6:c6 SSID=Broadcast
5a:42:56:6e:f4:20 SSID=Broadcast
5e:07:b5:0a:16:b6 SSID=Broadcast
62:19:3a:c1:8b:8b SSID=Broadcast
62:3f:da:ef:95:4d SSID=Broadcast
62:82:99:96:0f:c6 SSID=Broadcast
62:84:74:64:b0:4b SSID=Broadcast
66:22:63:d0:6f:8c SSID=Broadcast
66:3d:33:d8:44:1e SSID=Broadcast
66:40:2f:2e:cd:41 SSID=Broadcast
66:60:a3:74:c2:27 SSID=Broadcast
6a:68:85:ae:78:d5 SSID=Broadcast
6a:88:f1:7f:83:98 SSID=Broadcast
6a:98:31:56:0b:e3 SSID=Broadcast
6a:ba:62:4f:e6:0f SSID=Broadcast
6e:98:3e:e1:cf:9c SSID=Broadcast
6e:fe:b9:5b:39:02 SSID=Broadcast
72:3a:e9:e2:34:8e SSID=Broadcast
72:44:14:25:9b:0f SSID=Broadcast
72:c6:97:73:d0:44 SSID=Broadcast
72:ee:4f:f0:8e:c5 SSID=Broadcast
76:93:07:21:83:c8 SSID=Broadcast
76:c8:10:af:0d:34 SSID=ASUS_5G
76:c8:10:af:0d:34 SSID=DIRECT-yiE0:ILCE-7M2
76:c8:10:af:0d:34 SSID=eduroam
76:c8:10:af:0d:34 SSID=MEIZU
76:ca:62:19:63:19 SSID=Broadcast
7a:02:00:82:c1:2e SSID=Broadcast
7a:2e:b7:7f:18:10 SSID=Broadcast
7a:b2:e9:b0:4e:57 SSID=Broadcast
7a:b2:e9:b0:4e:57 SSID=eduroam
7e:6f:0a:7f:8a:74 SSID=Broadcast
7e:76:ac:fa:d2:77 SSID=Broadcast
7e:ec:1c:96:74:ea SSID=Ziggo0B609
82:18:79:ff:bd:11 SSID=Broadcast
82:3d:0b:08:b4:f3 SSID=Broadcast
82:3f:b9:c7:0d:d2 SSID=Broadcast
82:91:8c:49:68:36 SSID=Broadcast
86:5f:93:44:24:61 SSID=Broadcast
86:71:b1:b4:4f:de SSID=Broadcast
8e:22:a8:38:ea:57 SSID=Broadcast
92:9d:67:02:4b:6b SSID=Broadcast
92:aa:11:ab:ba:39 SSID=Broadcast
92:aa:11:ab:ba:39 SSID=Ziggo0B609
96:a4:5d:78:b6:de SSID=Broadcast
96:ac:68:d7:1c:a2 SSID=Broadcast
9a:3c:e3:a1:c9:f1 SSID=Broadcast
9a:61:3e:cb:19:4f SSID=Broadcast
9a:9d:12:03:b1:49 SSID=Broadcast
9e:20:c1:24:98:20 SSID=Broadcast
9e:29:52:44:94:e3 SSID=Broadcast
9e:29:bf:80:c5:50 SSID=Broadcast
9e:43:37:fe:de:55 SSID=Broadcast
a2:64:83:72:b8:f9 SSID=Broadcast
a6:ae:00:cc:41:84 SSID=Broadcast
a6:e1:89:fe:87:eb SSID=Broadcast
a6:fb:23:f1:3d:95 SSID=Broadcast
aa:57:fd:96:89:12 SSID=Broadcast
aa:95:d0:1e:9c:a5 SSID=Broadcast
ae:45:95:5c:8c:c7 SSID=ijsbeer
ae:8e:0e:3b:aa:3a SSID=Broadcast
ae:c9:96:ac:d8:96 SSID=Broadcast
Apple_00:45:b1 SSID=Broadcast
Apple_12:d3:6b SSID=eduroam
Apple_14:22:45 SSID=Broadcast
Apple_1b:60:02 SSID=Broadcast
Apple_1b:60:02 SSID=eduroam
Apple_1b:60:02 SSID=TUvisitor
Apple_1c:f6:25 SSID=Broadcast
Apple_1d:12:af SSID=Broadcast
Apple_1d:b3:bd SSID=Broadcast
Apple_1d:b3:bd SSID=eduroam
Apple_33:7f:ee SSID=Broadcast
Apple_3e:9e:39 SSID=Broadcast
Apple_3e:9e:39 SSID=eduroam
Apple_40:65:4d SSID=eduroam
Apple_41:9e:7c SSID=eduroam
Apple_41:cb:08 SSID=eduroam
Apple_43:81:8d SSID=eduroam
Apple_44:34:a8 SSID=Broadcast
Apple_44:f9:17 SSID=eduroam
Apple_45:02:d5 SSID=Broadcast
Apple_45:02:d5 SSID=eduroam
Apple_45:09:25 SSID=eduroam
Apple_45:e3:5e SSID=eduroam
Apple_46:ca:39 SSID=Alcatraz
Apple_46:ca:39 SSID=Alienware
Apple_46:ca:39 SSID=balala
Apple_46:ca:39 SSID=Broadcast
