00:c8:9f:92:ce:e6 SSID=FUZY
02:80:48:61:a2:9d SSID=K-WO
02:80:48:61:a5:17 SSID=KBARRIQUE
02:90:7f:b4:d3:c9 SSID=QDelft-Internal
02:90:7f:b4:d3:ca SSID=QDelft-Internal
02:9f:c2:fa:34:8a SSID=DeGist-Kassa
02:a0:57:24:45:ae SSID=Eijsink85359
06:18:0a:83:20:66 SSID=Broadcast
06:18:d6:67:56:76 SSID=asanet
06:18:d6:c1:9f:86 SSID=v-u-office
06:18:d6:e1:55:1a SSID=v-u-print
0a:18:d6:63:9d:80 SSID=Bridges
0e:18:0a:83:20:66 SSID=Broadcast
16:18:d6:21:d5:89 SSID=Delft
26:18:d6:21:c8:57 SSID=Koningshuys
26:18:d6:21:d5:89 SSID=KoningsHuys
26:a4:3c:7d:80:15 SSID=eduroam
2a:37:37:48:c0:9d SSID=Airport
2e:0e:3d:e7:15:fd SSID=AndroidAP
32:10:b3:b1:29:85 SSID=DIRECT-oL-matas
32:cd:a7:8e:a5:c9 SSID=DIRECT-IAM2070
36:a4:3c:7d:80:15 SSID=Delft
3a:43:1d:12:85:91 SSID=Ziggo
3a:43:1d:36:17:62 SSID=Ziggo
3a:60:77:51:85:17 SSID=Ziggo
3a:60:77:c2:ca:00 SSID=Ziggo
3e:77:e6:32:e2:3a SSID=Ziggo
4a:d9:e7:b5:21:34 SSID=Verkade
52:89:86:00:c2:f6 SSID=KPN
56:67:11:df:c9:ce SSID=Ziggo
56:67:11:e4:a1:99 SSID=Ziggo
56:67:11:e8:ae:93 SSID=Ziggo
56:67:11:eb:69:1c SSID=Ziggo
56:67:11:ff:bb:ca SSID=Ziggo
56:c7:bf:73:ae:3c SSID=TP-LINK_Guest_AE3C
5a:ef:68:0e:5e:b5 SSID=Marih\357\277\275\357\277\275nen-g
62:02:92:04:41:b4 SSID=Ziggo
62:02:92:52:9f:82 SSID=Ziggo
62:68:c8:af:80:8d SSID=KPN
62:a7:b7:33:b9:c5 SSID=KPN
62:d8:2f:11:20:e8 SSID=KPN
66:38:e0:81:de:ae SSID=Laila-guest
66:38:e0:81:de:af SSID=Laila-guest
6a:14:01:26:1b:5b SSID=DIRECT-5b-HP
6a:4a:77:5a:16:42 SSID=KPN
6a:4d:ea:8e:9c:f2 SSID=KPN
6a:d2:74:b9:b0:b2 SSID=KPN
6a:d2:74:b9:d9:4a SSID=KPN
6a:f5:37:55:52:0e SSID=KPN
6a:ff:3e:00:e1:9e SSID=KPN
72:22:f8:14:3c:5d SSID=KPN
72:54:d2:e0:db:bf SSID=Ziggo
72:5a:9e:37:a0:a9 SSID=Ziggo
72:5a:9e:3a:4d:19 SSID=Ziggo
72:5a:9e:81:34:97 SSID=Ziggo
72:6f:52:36:b7:1b SSID=KPN
72:77:81:46:07:cc SSID=Ziggo
72:77:81:5d:f2:44 SSID=Ziggo
72:77:81:5d:ff:2c SSID=Ziggo
72:96:82:25:bf:f7 SSID=KPN
72:a7:8e:ea:6b:c7 SSID=KPN
72:a7:b7:4a:0c:cc SSID=Clavisdelft
72:c1:a7:10:79:07 SSID=KPN
72:d8:2f:25:6f:a7 SSID=KPN
72:d8:2f:26:95:ef SSID=KPN
76:29:af:22:97:1b SSID=Ziggo
7a:2e:22:72:61:d8 SSID=KPN
7a:60:8c:04:68:90 SSID=KPN
7a:60:8c:23:2a:cd SSID=DonerCompanyGast
7a:64:62:80:7e:10 SSID=KPN
7a:7d:5e:54:0d:f4 SSID=HG655D-540DF5
7a:8a:20:49:8e:d8 SSID=hhdelft-guest
7a:8a:20:4a:8e:d8 SSID=wlan-secure
7a:8a:20:82:ec:85 SSID=The_Hangout
7a:96:82:34:d9:48 SSID=KPN
7a:96:82:35:1a:ac SSID=KPN
7a:b5:7e:27:5e:5d SSID=Telgefixt-Gast
7a:b5:7e:3f:e8:6c SSID=KPN
7a:be:53:7c:dc:64 SSID=KPN
7a:d8:2f:26:9b:70 SSID=KPN
7e:05:07:b1:da:f8 SSID=Ziggo
82:08:8b:14:80:fc SSID=HG655D-1480FF
82:29:94:1c:50:cd SSID=Ziggo
82:29:94:d8:47:38 SSID=Ziggo
