00:c8:9f:92:ce:e6 SSID=FUZY
08:10:77:15:81:6d SSID=Meer
1a:d6:c7:a4:83:ec SSID=I'm
4a:c8:62:02:a1:2b SSID=#Skyroam_a2u
56:c7:bf:36:70:bb SSID=HRDK
56:c7:bf:36:70:bc SSID=HRDK
56:c7:bf:70:8f:24 SSID=TP-LINK_Guest_Ilse
56:c7:bf:73:ae:3c SSID=TP-LINK_Guest_AE3C
56:c7:bf:99:de:6b SSID=\000\000\000\000\000\000\000\000\000\000
5e:e0:c5:84:a0:58 SSID=DIRECT-DMRLUImsM1
66:38:e0:81:de:ae SSID=Laila-guest
66:38:e0:81:de:af SSID=Laila-guest
6a:ff:3e:3d:1c:92 SSID=KPN
82:2a:a8:cb:8e:97 SSID=S_5GHz
ae:22:35:ad:ce:77 SSID=APiet
Apple_02:c8:51 SSID=PingWing
Apple_05:4e:36 SSID=Red
Apple_05:4e:37 SSID=Red
Apple_06:6e:b4 SSID=Alberto's
Apple_06:6e:b5 SSID=Alberto's
Apple_0a:ea:fe SSID=Delft-2382
Apple_0a:ea:ff SSID=Delft-2382
Apple_0b:36:87 SSID=ahoj
Apple_23:31:58 SSID=pear
Apple_e7:5e:18 SSID=Qnet
Apple_e9:2d:e0 SSID=Wifinetwerk
Apple_e9:2d:e1 SSID=Wifinetwerk
Apple_e9:5f:fa SSID=Hogwarts
Apple_e9:5f:fb SSID=Hogwarts
AsustekC_30:8e:20 SSID=ASUS
AsustekC_30:8e:24 SSID=ASUS_5G
AsustekC_34:e8:28 SSID=IthurtswhenIP
AsustekC_35:ef:14 SSID=jhkim
AsustekC_42:80:30 SSID=ASUS_Robin
AsustekC_42:80:34 SSID=ASUS_Robin
AsustekC_50:ed:40 SSID=Latem125
AsustekC_50:ed:44 SSID=Latem125_5G
AsustekC_54:49:60 SSID=Koos
AsustekC_5d:59:24 SSID=Geen
AsustekC_61:da:f0 SSID=claudo2
AsustekC_61:da:f4 SSID=claudo5
AsustekC_81:79:40 SSID=EFRASUS
AsustekC_81:79:44 SSID=ASUS_5G
AsustekC_83:f5:f8 SSID=ASUS
AsustekC_86:15:e0 SSID=\000\000\000
AsustekC_8b:9b:18 SSID=PrimaWifi
AsustekC_8b:9b:1c SSID=PrimaWifi_5G
AsustekC_94:f5:48 SSID=Harambe
AsustekC_a4:5f:28 SSID=Omar
AsustekC_a4:93:c0 SSID=alisamm
AsustekC_a5:03:04 SSID=asdfasdfasdf
AsustekC_b2:a1:ec SSID=RoyalAirForce_5G
AsustekC_b6:25:38 SSID=Floofiest
AsustekC_c1:3d:9c SSID=MANT
AsustekC_d1:d8:00 SSID=MiLANnium
AsustekC_d2:a9:b4 SSID=ASUS_B4
AsustekC_dd:08:b8 SSID=AM
Avm_ae:f7:16 SSID=FRITZ!Box
BelkinIn_0e:51:ce SSID=belkin54g
BelkinIn_11:02:4c SSID=Jachthuis
BelkinIn_15:40:d6 SSID=TinoD
BelkinIn_1a:e7:7b SSID=Cambridge
BelkinIn_28:75:00 SSID=Marcel
BelkinIn_28:88:9c SSID=NotTheWifiYouAreLookingFor
BelkinIn_28:8f:ac SSID=--Alo--
BelkinIn_28:92:c8 SSID=!WIFI!
BelkinIn_28:92:c9 SSID=!WIFI!-gast
BelkinIn_28:a4:41 SSID=MagentaLion-guest
BelkinIn_2a:1f:ec SSID=SMBV
BelkinIn_2a:1f:ed SSID=SMBV-gast
BelkinIn_3d:27:04 SSID=FastMitch2.4
BelkinIn_3d:27:05 SSID=FastMitch5
BelkinIn_40:79:e7 SSID=Linksys13238
BelkinIn_48:d6:3f SSID=Get
BelkinIn_50:2e:5a SSID=Nikki
BelkinIn_68:40:68 SSID=julieta
BelkinIn_7b:1d:48 SSID=Napoleon2
BelkinIn_80:3c:84 SSID=Linksys34731
BelkinIn_81:de:ae SSID=Laila
BelkinIn_81:de:af SSID=Laila
BelkinIn_81:df:1a SSID=Linksys00391
BelkinIn_81:df:1b SSID=Linksys00391_5GHz
BelkinIn_81:ed:c6 SSID=JFBO
BelkinIn_86:e6:e4 SSID=Linksys09865
BelkinIn_86:e6:e5 SSID=Linksys09865_5GHz
BelkinIn_86:f7:90 SSID=Linksys04961
BelkinIn_8c:fe:a1 SSID=LinksysLinnie
BelkinIn_97:29:44 SSID=half
BelkinIn_97:29:d5 SSID=Baaijens
BelkinIn_97:29:d6 SSID=Baaijens
BelkinIn_9d:9b:49 SSID=Beton
BelkinIn_9d:9b:4b SSID=Beton-gast
BelkinIn_a9:a4:7d SSID=Kelly's
BelkinIn_c5:14:dc SSID=PanterLuide
BelkinIn_c5:17:37 SSID=GreenElmo
BelkinIn_da:6d:de SSID=Router
BelkinIn_f0:b6:ee SSID=belkin.36ee
BelkinIn_f8:bc:1a SSID=CelineWLAN
BestItWo_9d:f3:60 SSID=Anup
c2:56:27:40:79:e7 SSID=Linksys13238-guest
c2:56:27:40:79:e8 SSID=Linksys13238_5GHz-guest
c6:e9:84:c8:60:12 SSID=Starchoo_Guest_5G
c6:e9:84:c8:60:13 SSID=Starchoo_Guest
Cisco-Li_1a:d0:a3 SSID=FishesInAPond
Cisco-Li_1a:d0:a4 SSID=FishesInAPond
Cisco-Li_43:92:2d SSID=THR-IIAF
Cisco-Li_52:41:d3 SSID=We
Cisco-Li_6c:c3:eb SSID=linksys
Cisco-Li_7d:ba:b0 SSID=$30/mins
Cisco-Li_7f:5d:24 SSID=tplink
Cisco-Li_8c:ad:a6 SSID=wu43
Cisco-Li_8e:59:a6 SSID=Gilang
Cisco-Li_8e:59:a8 SSID=Gilang
Cisco-Li_94:eb:5a SSID=Kostas-network
Cisco-Li_b5:77:6b SSID=Flowwjob
Cisco-Li_ce:e9:bb SSID=6EN20
CompalBr_54:89:47 SSID=Ziggo57C43A9
CompalBr_60:52:6f SSID=ZiggoE92934D
CompalBr_d1:c5:91 SSID=ZiggoDB3BBCC
Comtrend_b4:8e:2c SSID=ziggo-ap-8395110
D-LinkIn_1e:56:ef SSID=Alok
D-LinkIn_39:b6:c8 SSID=dlink-B6C8
D-LinkIn_39:b6:ca SSID=dlink-B6C8-5GHz
D-LinkIn_39:c3:00 SSID=Youri-Netwerk
D-LinkIn_43:72:64 SSID=Bas
D-LinkIn_43:72:66 SSID=Bas
D-LinkIn_43:79:50 SSID=Klinifi
D-LinkIn_43:79:52 SSID=Klinifi-5GHz
D-LinkIn_43:79:90 SSID=veen
D-LinkIn_43:7a:e0 SSID=Metten
D-LinkIn_43:7a:e2 SSID=Metten-5GHz
D-LinkIn_43:7f:d0 SSID=Mom,
D-LinkIn_43:7f:d2 SSID=McDonald's
D-LinkIn_45:b9:da SSID=sp_901
D-LinkIn_48:37:81 SSID=Hasselt_8
D-LinkIn_54:83:60 SSID=dlink-8360
D-LinkIn_54:83:62 SSID=dlink-8360-5GHz
D-LinkIn_59:a0:b4 SSID=Starbugs_2.4Ghz
D-LinkIn_64:1d:0a SSID=dlink
D-LinkIn_7c:e0:03 SSID=thestrangelibrary
D-LinkIn_7d:53:8b SSID=Shaiv
D-LinkIn_c8:74:2c SSID=J51
D-LinkIn_d5:6c:e6 SSID=Dio's
D-LinkIn_d6:73:8b SSID=D-Link_DIR-615
D-LinkIn_d8:62:5c SSID=Panda_2.4G
D-LinkIn_d8:73:48 SSID=Aerod
D-LinkIn_db:2d:e0 SSID=D-Link_DIR-615
D-LinkIn_e6:93:b7 SSID=dlink-93B7
D-LinkIn_ea:02:82 SSID=Sparkles
D-LinkIn_f2:85:d5 SSID=D-Link_DIR-615
Draytek_cd:15:70 SSID=PROJECTNET
EdimaxTe_50:a7:fa SSID=Ssqaure
EdimaxTe_50:a8:1e SSID=edimax_2.4BR
EdimaxTe_53:64:40 SSID=IsenN
EdimaxTe_69:40:55 SSID=GB
EdimaxTe_9d:a0:35 SSID=goede_morgan
EdimaxTe_a2:70:f9 SSID=goaway
EdimaxTe_c5:8c:f0 SSID=MK
Epigram_1e:50:18 SSID=May
fa:8f:ca:68:24:bd SSID=Broadcast
fa:8f:ca:87:59:96 SSID=Broadcast
fa:8f:ca:95:3a:64 SSID=Broadcast
fa:8f:ca:9c:4e:2b SSID=Koffiezetter.b
FidaInte_17:b8:27 SSID=RatNet
FonTechn_88:9d:d0 SSID=Hutspot
GigasetC_a2:98:f8 SSID=KennelWifi2
HewlettP_03:6f:d7 SSID=DIRECT-D6-HP
HewlettP_15:6f:77 SSID=DIRECT-76-HP
HewlettP_79:0b:8b SSID=DIRECT-8A-HP
IntelCor_7d:8c:f0 
Intronic_8d:20:cc SSID=Eminent
Intronic_95:f0:44 SSID=Hertog
Intronic_97:19:d4 SSID=Ding
Intronic_97:1b:98 SSID=BEAM112
Intronic_97:ac:08 SSID=Devils
Intronic_97:d2:50 SSID=Isengard
Intronic_97:d5:b0 SSID=367
Intronic_97:d6:58 SSID=Eminent
Intronic_97:d6:64 SSID=Eminent
LiteonTe_c2:f9:e5 SSID=Milad-network
MS-NLB-PhysServer-04_4b:55:d4:d9 SSID=DIRECT-JC-Android_2541
Netgear_04:76:cf SSID=Ether_nomap
Netgear_04:76:d1 SSID=Ether_nomap
Netgear_11:ad:80 SSID=Baseplate
Netgear_11:ad:82 SSID=Baseplate-5G
Netgear_13:e0:88 SSID=Himanshu
Netgear_25:2e:f8 SSID=NETGEAR45
Netgear_2d:1e:25 SSID=pesce
Netgear_48:92:ca SSID=NETGEAR95
Netgear_5d:e6:75 SSID=Michiel
Netgear_85:5e:a8 SSID=The
Netgear_85:5e:a9 SSID=The
Netgear_92:a0:c6 SSID=NETGEAR36
Netgear_92:a0:c7 SSID=NETGEAR36-5G
Netgear_dd:97:78 SSID=ARK
Netgear_dd:97:7c SSID=ARK-5G
Netgear_e7:b5:bf SSID=Yung
Netgear_e7:b5:c0 SSID=Yung
ProwareT_78:72:08 SSID=ICIDU
RealtekS_81:96:c1 SSID=Homie
Routerbo_90:f0:f8 SSID=SillyNet
SamsungE_24:ba:68 SSID=UPC240362636
SamsungE_5e:71:4b SSID=AndroidAP
SamsungE_81:c5:07 SSID=Broadcast
SamsungE_a8:8c:48 SSID=UPC240293034
SamsungE_b4:00:85 SSID=Broadcast
SamsungE_b4:62:a7 SSID=HZN241205278
SamsungE_b4:62:a8 SSID=HZN502952238
SamsungE_f3:e7:33 SSID=Broadcast
SamsungE_f8:1d:03 SSID=Broadcast
SitecomE_03:b8:d8 SSID=ZH44
SitecomE_03:cf:10 SSID=No
SitecomE_06:fd:08 SSID=Sitecom06FD08
SitecomE_06:fd:08 SSID=Sitecom06FD08[Malformed
SitecomE_0f:8b:ac SSID=Sitecom0F8BAC
SitecomE_1f:8f:60 SSID=Sitecom1F8F60
SitecomE_24:db:b0 SSID=Sitecom24DBB0
SitecomE_25:12:c4 SSID=Mitchell
SitecomE_26:4b:18 SSID=M_D
SitecomE_3b:68:40 SSID=Home-I
SitecomE_3d:58:4b SSID=Sitecom3d584b
SitecomE_44:9a:06 SSID=Sitecom
SitecomE_45:82:ff SSID=Sitecom4582FF
SitecomE_4a:2e:02 SSID=Sitecom_Zagorci
SitecomE_4a:3d:8f SSID=Hex2.4
SitecomE_8d:06:b4 SSID=Sitecom8D06B4
SitecomE_ad:e0:1c SSID=SitecomADE01C
